index, job_title, salary_estimate, job_description, rating, company_name, location, size, founded, type_of_ownership, industry, sector, revenue, skills, company_age
NA,Dir Data Science,$92K - $163K (Glassdoor est.),NA,3.7,Southern Glazer’s Wine and Spirits,"Cerritos, CA",10000+ Employees,1968,Company - Private,Wholesale,Retail & Wholesale,$10+ billion (USD),"Develop innovative data science solutions for segmentation, CLTV, next best action, forecasting, and experimentation that utilize the state-of-art machine……
Skills: TensorFlow, Azure, Computer vision, Big data, Spark",NA
NA,Power BI Developer,$5K - $7K (Employer est.),NA,5.0,Kapital Data Corp,"Richmond, VA",NA,NA,NA,NA,NA,NA,"Ability to travel around the state as needed. Engage multiple customers and develop applications to meet their needs. Excellent written and oral communication.…
Skills: ArcGIS, Power BI, Oracle, Visual Studio, C#",NA
NA,Computer Vision / Autonomy Engineer,$122K - $204K (Employer est.),NA,3.7,Intramotev,United States,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Willingness to expand into technical areas beyond your area of expertise; ability to develop innovative and novel approaches.…
Skills: TensorFlow, MATLAB, English, C++, Machine learning",NA
NA,Departmental Specialist 13 - Rates and Encounter Data Section,$89K - $128K (Employer est.),NA,4.3,Human Resources Developer 9 - P11 - PDB / MCOLES / Career Development,"Lansing, MI",10000+ Employees,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Serves as a technical advisor and liaison in working with state contractors, state staff and managed care entities relating to CHAMPS processing requirements……
Skills: Public health, AI",NA
NA,Lead Data Analyst- Hybrid,$66K - $96K (Employer est.),NA,3.7,ManTech,"Chantilly, VA",5001 to 10000 Employees,1968,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on……
Skills: Statistics, Microsoft Excel, Azure, SAS, SQL",NA
NA,State Administrative Manager 15 - Vital Records and Health Data Development Section Manager,$100K - $125K (Employer est.),NA,3.7,Laborer 5-E6 (Non-career),"Lansing, MI",10000+ Employees,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Help preserve and protect our environment and the public health; enforce state laws and regulations; advocate for children, families, and victims of……
Skills: Public health, AI, Law enforcement",NA
NA,"Statistician Specialist 13, Statistical Support Unit",$80K - $118K (Glassdoor est.),NA,4.3,Fire Safety Officer 6-E7,"Lansing, MI",10000+ Employees,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,"Help preserve and protect our environment and the public health; enforce state laws and regulations; advocate for children, families, and victims of……
Skills: Statistics, Public health, AI",NA
NA,Senior ML Ops Data Engineer,$89K - $116K (Employer est.),NA,3.8,SportsBiz,Remote,NA,NA,NA,NA,NA,NA,"Bachelor’s or Master’s degree in Data Science, Computer Science, or a related field. Design, develop, and maintain data pipelines for collecting, processing,……
Skills: Databases, SQL, Machine learning, Communication skills, Python",NA
NA,Engineer III - Laboratory IT,$86K - $143K (Employer est.),NA,3.7,Novo Nordisk,"Lexington, MA",10000+ Employees,1923,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"Major tasks will include implementing and maintaining existing laboratory systems and instruments, enabling solutions for capturing data from laboratory……
Skills: Microsoft Windows Server, Biotechnology, Cloud infrastructure, Oracle, Software troubleshooting",NA
NA,"Healthcare Data Research Scientist 2, Technology & Digital",$161K - $283K (Employer est.),NA,4.2,Baptist Health South Florida,"Coral Gables, FL",10000+ Employees,1960,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"May consider PhD in non-healthcare scientific field if research and/or advanced analytics experience relates to healthcare, healthcare data, clinical practice……
Skills: Scientific research, AI, Analytics",NA
